nat	sex	n_fr	prop_fr	n_59	prop_59
PT	Both	542370	0.828	8294	0.318
IT	Both	225679	0.345	6949	0.266
ES	Both	181251	0.277	3540	0.136
DE	Both	86366	0.132	870	0.033
BE	Both	107039	0.163	14310	0.548
PL	Both	54206	0.083	1260	0.048
RO	Both	137492	0.21	3986	0.153
NL	Both	36678	0.056	715	0.027
Other EU	Both	5667.389	0.009	96.167	0.004
PT	M	285947	0.901	4467	0.355
IT	M	120956	0.381	4051	0.322
ES	M	90766	0.286	1864	0.148
DE	M	38621	0.122	352	0.028
BE	M	51289	0.162	6994	0.555
PL	M	23802	0.075	542	0.043
RO	M	68934	0.217	1950	0.155
NL	M	17760	0.056	361	0.029
Other EU	M	2478.278	0.008	41.278	0.003
PT	F	256423	0.759	3826	0.283
IT	F	104723	0.31	2898	0.214
ES	F	90485	0.268	1676	0.124
DE	F	47746	0.141	517	0.038
BE	F	55750	0.165	7316	0.541
PL	F	30404	0.09	717	0.053
RO	F	68558	0.203	2036	0.151
NL	F	18918	0.056	355	0.026
Other EU	F	3189.111	0.009	54.889	0.004
